Equipo Editorial,1,Historia de la navidad
Gege Akutami            /            Koyoharu Gotouge,1,Jujutsu kaisen 19
"Wakui,Ken",1,Tokyo revengers 11
Yukinobu Tatsu,1,Dan da dan 04
"Hazelwood, Ali",1,La quimica del amor
"Gorro, Tamara",1,La princesa y la mariposa
Jorge Javier Vázquez,1,Antes del Olvido
"Armentrout, Jennifer",1,La guerra de las dos reinas
Alice Kellen,1,La teoria de los archipielagos
La Vecina Rubia,1,Contando atardeceres
Mikecrack,1,Las perrerias de mike 2. mikecrack y el diamantito perdido
Dolores Redondo,1,Esperando al diluvio
Varios Autores,1,Planeta manga 15
Eiichiro Oda,1,One piece nº 102
Naoya Matsumoto,1,Kaiju 8 03
Kohei Horikoshi,1,My hero academia nº 32
Haruichi Furudate,2,Haikyu 14|Haikyu 15
"Muneyuki Kaneshiro, Yusuke Nomura",1,Blue lock 8
Severine Cordier,1,Mis melodias clasicas de navidad
Karlos Arguiñano,1,Cocina facil y rico
Angel Martin,1,Por si las voces vuelven. edicion especial
Cristina Campos,1,Historias de mujeres casadas
Juan Ramon Rallo,1,Anti-marx
Megan Maxwell,1,Y ahora supera mi beso
"Mikecrack, El Trollino Y Timba Vk",1,Los compas y la aventura en miniatura
Pedro Mañas,2,Anna kadabra. aventuras legendarias 1. el valle de|Marcus pocus 2. titulo provisional
El Mundo De Indy,1,Cuaderno de creatividad de el mundo de indy
Pedro Baños Bajo,1,La encrucijada mundial
"Kinney, Jeff",1,Diario de greg 17 - dando la nota
"Ibañez, Francisco",2,Mortadelo y filemon. mundial 2022|Especial mundial 2022
"Navarro, Julia",1,"Dispara, yo ya estoy muerto (edicion black friday)"
"Benavent, Elisabet",1,Los abrazos lentos
"Game, Arta",1,Arta y la invasion maxima
"Stones, Rebeca",1,Insaciable
"Wild, Jordi",1,Asi es la puta vida
"Gomez-jurado, Juan            /            Montes, Barbara",1,Amanda black 6 la maldicion del nilo
"Martinez Puche            /            Alvarez,Luis            /            Julian Cos",1,Evangelio 2023 (bolsillo)
Carlos Del Amor,1,Retratarte
Maria Martinez,1,Cuando no queden mas estrellas que contar
Juan Eslava Galan,1,La reconquista contada para escepticos
"Godoy,Ariana",1,A traves de la lluvia trilogia hermanos hidalgo 3
Guinness World Records,1,Guinness world records 2023
Almudena Grandes,1,Todo va a mejorar
"R.R. Martin, George            /            Wheatley, Doug",1,Fuego y sangre (cancion de hielo y fuego)
"Smallman, Steve            /            Dreidemy, Joelle",1,La patita que vino a cenar
"Martin De La Cova, Victoria",1,Se tiene que morir mucha gente
"Punset, Ana",1,Un reto magico
